,journal1,journal2,weight
5711,applied physics letters,journal of the american chemical society,280
5712,chemical  engineering news,science,280
5713,amusement business,amusement today,280
5714,american journal of respiratory and critical care medicine,american journal of respiratory and critical care medicine,280
5715,marine ecology progress series,pnas,280
5716,physical review b,pnas,280
5717,official us playstation magazine,playstation the official magazine,280
5718,mol biol cell,nat genet,280
5719,gene,genes  development,280
5720,diabetes,science,280
5721,pnas,south african journal of science,280
5722,journal of experimental social psychology,journal of experimental social psychology,280
5723,nucleic acids research,structure,280
5724,communications biology,scientific reports,280
5725,bmc genetics,european journal of human genetics,280
5726,contraception,gynecol endocrinol,280
5727,neuroscience letters,the journal of neuroscience,280
5728,carnets de gxe9ologie,journal of paleontology,280
5729,archives of disease in childhood,the cochrane database of systematic reviews,280
5730,mycologia,nature,280
5731,j exp med,science,280
5732,journal of chemical education,nature,280
5733,nature reviews molecular cell biology,the embo journal,280
5734,environ sci technol,environ sci technol,280
5735,annual review of astronomy and astrophysics,astrophysical journal,280
5736,animal behaviour,ibis,280
5737,annales de palxe9ontologie,palaeogeography palaeoclimatology palaeoecology,280
5738,bmj,neurology,280
5739,cell,circulation,280
5740,condor,ibis,280
5741,nature protocols,pnas,279
5742,angewandte chemie international edition,inorganic chemistry,279
5743,nature communications,the embo journal,279
5744,journal of interdisciplinary history,the slavonic and east european review,279
5745,nature,vaccine,279
5746,annual review of ecology and systematics,ecology,279
5747,cancer res,int j cancer,279
5748,the cochrane database of systematic reviews,the journal of pediatrics,279
5749,quaternary science reviews,zoological journal of the linnean society,279
5750,fungal diversity,mycotaxon,279
5751,bmc evolutionary biology,journal of human evolution,279
5752,annals of internal medicine,plos one,279
5753,nature reviews microbiology,plos one,279
5754,european journal of immunology,nature,279
5755,boletxedn de la sociedad geolxf3gica mexicana,historical biology an international journal of paleobiology,279
5756,american journal of human biology,american journal of physical anthropology,279
5757,molecular ecology,proceedings of the royal society b biological sciences,279
5758,annales de palxe9ontologie,palaeontologia electronica,279
5759,european journal of biochemistry  febs,pnas,279
5760,indian birds,malabar trogon,279
5761,journal of virology,molecular cell,279
5762,biochimica et biophysica acta,journal of bacteriology,279
5763,appetite,meat science,279
5764,journal of quaternary science,quaternary research,279
5765,fossil record,palaeontologia electronica,279
5766,evolutionary anthropology,science,279
5767,astronomical journal,astronomy  astrophysics,279
5768,cytokine,journal of biological chemistry,279
5769,otology  neurotology,the journal of the acoustical society of america,279
5770,mbio,nature,278
5771,cell death and differentiation,pnas,278
5772,canadian slavonic papers  revue canadienne des slavistes,russian history,278
5773,organic geochemistry,pnas,278
5774,vision research,vision research,278
5775,journal of systematic palaeontology,revue de palxe9obiologie genxe8ve,278
5776,acta palaeobotanica,american journal of botany,278
5777,nano letters,scientific reports,278
5778,hum mutat,nat genet,278
5779,developmental biology,plos one,278
5780,bmj clinical research ed,the cochrane database of systematic reviews,278
5781,nature reviews drug discovery,pnas,278
5782,journal of vertebrate paleontology,zookeys,278
5783,archives of sexual behavior,plos one,278
5784,international labor and workingclass history,slavic review,278
5785,genomics,j mol biol,278
5786,cancer res,plos one,278
5787,tetrahedron letters,tetrahedron letters,278
5788,febs letters,genes  development,278
5789,navy exp diving unit res report,undersea biomed res,278
5790,structure,the biochemical journal,278
5791,comptes rendus palevol,papers in palaeontology,278
5792,eur j pharmacol,j pharmacol exp ther,278
5793,nature,vision research,278
5794,protein science,science,278
5795,dev cell,nature,278
5796,american journal of public health,social science  medicine,277
5797,biochemical and biophysical research communications,molecular endocrinology,277
5798,cognition,cognition,277
5799,journal of immunology,the biochemical journal,277
5800,current biology,journal of cell science,277
5801,j cell sci,j cell sci,277
5802,cognition,psychological science,277
5803,carnets de gxe9ologie,cretaceous research,277
5804,cash box,cash box,277
5805,developmental cell,the journal of cell biology,277
5806,animal behaviour,insectes sociaux,277
5807,american journal of botany,palaeogeography palaeoclimatology palaeoecology,277
5808,canadian journal of zoology,science,277
5809,the journal of interdisciplinary history,the journal of modern history,277
5810,current opinion in neurobiology,neuron,277
5811,materials evaluation,materials evaluation,277
5812,palxe4ontologische zeitschrift,peerj,277
5813,journal of experimental social psychology,personality and social psychology bulletin,277
5814,journal of systematic palaeontology,precambrian research,277
5815,annals and magazine of natural history,zootaxa,277
5816,biochem biophys res commun,curr biol,277
5817,integrative and comparative biology,plos one,277
5818,bull amer math soc,proc amer math soc,277
5819,human molecular genetics,oncogene,277
5820,biochimica et biophysica acta,european journal of biochemistry,277
5821,geobiology,nature communications,277
5822,biological psychiatry,schizophrenia research,277
5823,journal of biological chemistry,nat neurosci,276
5824,palynology,review of palaeobotany and palynology,276
5825,american journal of human genetics,molecular and cellular biology,276
5826,annual review of genomics and human genetics,nature,276
5827,journal of the british astronomical association,monthly notices of the royal astronomical society,276
5828,j hum genet,journal of biological chemistry,276
5829,nature,the new york review of books,276
5830,blood,genome research,276
5831,journal of south american earth sciences,the anatomical record,276
5832,earth and environmental science transactions of the royal society of edinburgh,international journal of plant sciences,276
5833,plos one,trends in genetics,276
5834,sabretache journal of the military historical society of australia,sabretache journal of the military historical society of australia,276
5835,behavioral ecology and sociobiology,current biology,276
5836,clinical infectious diseases,the journal of infectious diseases,276
5837,quilters newsletter magazine,quilters newsletter magazine,276
5838,nature,proceedings of the national academy of sciences usa,276
5839,j pharmacol exp ther,journal of biological chemistry,276
5840,american journal of human genetics,biochimica et biophysica acta,276
5841,acs nano,carbon,276
5842,nature protocols,nucleic acids research,276
5843,publications of the astronomical society of the pacific,publications of the astronomical society of the pacific,276
5844,ecological applications,science,276
5845,journal of clinical oncology,journal of the national cancer institute,276
5846,foxtelfoxtel magazine,foxtelfoxtel magazine,276
5847,quaternary international,royal society open science,276
5848,astrophysical journal,physical review d,276
5849,journal of mammalian evolution,nature ecology  evolution,276
5850,cancer cell,cancer research,276
5851,journal of biological chemistry,molecular neurobiology,275
5852,embo reports,genome research,275
5853,geobiology,science,275
5854,bahxe1u02bcxed news,religion,275
5855,cell reports,plos one,275
5856,american journal of science,plos one,275
5857,earth and planetary science letters,organic geochemistry,275
5858,papers in palaeontology,precambrian research,275
5859,clinical infectious diseases,science,275
5860,nature ecology  evolution,nature geoscience,275
5861,biochimica et biophysica acta,journal of immunology,275
5862,anais da academia brasileira de cixeancias,journal of systematic palaeontology,275
5863,bulletin of the mizunami fossil museum,journal of systematic palaeontology,275
5864,journal of quaternary science,science,275
5865,febs j,journal of biological chemistry,275
5866,journal of biological chemistry,molecular immunology,275
5867,cell metabolism,pnas,275
5868,european heart journal,the cochrane database of systematic reviews,275
5869,index on censorship,lancet,275
5870,journal of herpetology,journal of vertebrate paleontology,275
5871,jama,the american journal of clinical nutrition,275
